Language,Category,Topic,FAQ,Answer
English,Broker,Processing & taxes,How can I participate in an annual general meeting?,"If the possibility of participating in an Annual General Meeting exists, the custodian bank will inform you about this. This applies to companies with headquarters in the European Economic Area (ARUG II). The announcement will be made available to you in your Scalable mailbox in the corresponding document ""Annual General Meeting"". The fees for the issuance of admission tickets to an Annual General Meeting can be found in the Special Conditions to the List of Prices and Services (p. 65) of Baader Bank. When ordering admission tickets for a foreign Annual General Meeting, please note that third-party fees of the depositary bank of up to EUR 150.00 may be incurred [Bundesgesetzblatt (BGBl I 2019, p. 2637)].

Note: Your right to participate may lapse in whole or in part if you change your position shortly before the Annual General Meeting.

Taking into account the re-registration deadline, please send us the reply from the ""Annual General Meeting"" document with your instructions as a completed PDF by e-mail to kapitalmassnahme@scalable.capital. Please ensure that the information contained in this document is complete and readable when sending it. Instructions that are not sent in the defined format (PDF) cannot be processed."
English,Broker,Processing & taxes,Can I participate in corporate actions?,Yes. As a shareholder you are entitled to participate in corporate actions. Baader Bank will inform you about possible corporate actions. We will make the announcement available to you in your mailbox in our app and online.
English,Broker,Processing & taxes,Can I buy registered shares?,Yes. You can also buy registered shares via Scalable Broker. The custodian Baader Bank will take care of the registration for you. You will not incur any costs for the registration performed by Baader Bank.
English,Broker,Processing & taxes,What information does the annual account statement contain?,"You will receive your annual account statement at the end of the year. This contains the balance of your custody account, but not the assets in your clearing account. If you are taxable in Germany, you will receive your annual fiscal certificate for your account by April 12 in your account inbox.

To get an overview of your portfolio including cash, please log in at scalable.capital/login. All relevant information about your account and custody account is always available."
English,Broker,Processing & taxes,Can I overdraw my clearing account?,"No. The clearing account is managed on a credit basis and cannot be overdrawn in the course of normal daily business. If there is not enough credit available on the clearing account for a prepared order, the order cannot be placed.

Should the clearing account nevertheless have a negative balance, the custodian bank will charge interest on this. Please refer to the special conditions in Baader Bank's list of prices and services for the current overdraft interest rate."
English,Broker,Costs,What are the total costs of Scalable Broker?,"You have the choice between three plans:

FREE Broker: You can use the FREE Broker without fixed costs. You can buy all ETFs from our PRIME partners DWS Xtrackers, Invesco and iShares free of order fees or set up a savings plan. In addition, FREE Broker offers you an additional ETF savings plan from any other provider or optionally a stock savings plan free of order fees. Each further ETF or stock savings plan costs 0.99 Euro per execution. The sale of securities costs 0.99 Euro per execution. 

PRIME Broker: PRIME Broker offers you a trading flat rate. Not only do you trade unlimited stocks, ETFs and funds free of order fees, but you can also set up as many savings plans for ETFs or stocks as you like. The PRIME Broker costs just 2.99 Euro per month, when paid annually (a total of 35.88 Euro per year).

PRIME Broker Flex: With PRIME Broker Flex, you enjoy all the benefits of the PRIME Broker with a flexible monthly payment at just 4.99 Euro per month.

There are no additional costs such as custody account fees, stock exchange fees, flat-rate third-party fees, or issue surcharges. It is also possible to switch between the price models at any time: To do so, go to the ""Profile"" tab of your broker. Under ""Products"" you will find the option to change your broker plan at any time.


Please note: There is a reference in the customer documents to an administration fee of 0.75% p.a. This refers exclusively to our separate product, ""wealth management."" If you only use our broker, this fee is not relevant for you.
"
English,Broker,Costs,Are there any additional trading costs?,"No. There are no additional costs apart from the above-mentioned costs in FREE Broker, PRIME Broker, and PRIME Broker Flex, such as custody account fees, stock exchange fees, flat-rate third-party fees, or issue surcharges."
English,Broker,Costs,Do I have to pay negative interest or a custody fee on my cash balance?,No. No interest is charged on the balance of the clearing account. The current conditions can be found in the special conditions of the price and service list of Baader Bank.
English,Broker,Costs,Where are the fees debited from?,The fees are debited from your reference account (current account which you have provided to us).
English,Overnight & term deposits,Overnight & term deposit accounts,"Who can open an overnight, term, or flex deposit account?","The offer is available to all customers with a custody account at Baader Bank who have first opened a wealth management custody account and are a resident in Germany.

Customers who have opened the broker account first, even if they have subsequently created a wealth management portfolio, currently do not yet have access to the overnight, fixed, or flex deposit offers."
English,Overnight & term deposits,Overnight & term deposit accounts,What is an overnight deposit?,"Overnight deposits are a credit-based investment option in which you invest at a variable interest rate without a fixed term. As an investor, you can withdraw your savings amount or make additional deposits at any time. Overnight deposits offer flexibility and interest income at the same time. With overnight deposit offers, you receive interest payments monthly, quarterly, semi-annually, or annually, depending on the partner bank. Any interest income is reinvested in your overnight deposit account and thus bears interest in the next interest interval. Consequently, you benefit from the compound interest effect."
English,Overnight & term deposits,Overnight & term deposit accounts,What is an overnight deposit with a fixed savings amount?,"Overnight deposit offers which are marked with ""fixed savings amount,"" differ from conventional overnight deposit offers in the following points:

1. You decide on a fixed savings amount, which you deposit in one lump sum up front. You cannot subsequently top up the amount or have it partially paid out. You can only terminate the savings account in full.
2. After termination, which is possible at any time, the balance will be paid out to your reference account within the specified payout period. Interest will continue to accrue on your savings amount until the payout.
3. The interest is usually higher than for overnight deposit accounts without a fixed savings amount."
English,Overnight & term deposits,Overnight & term deposit accounts,What is a term deposit?,"Term deposits are investment products in which you invest a fixed amount for a fixed term at a fixed interest rate. Similar to overnight deposits, interest payments for term deposits can also be distributed at different points in time. Depending on the partner bank, interest is paid either at maturity or in certain intervals."
English,Overnight & term deposits,Overnight & term deposit accounts,What is a flex deposit?,"Flex deposits combine the benefits of term deposits and overnight deposits. Similar to term deposits, both a fixed term and a fixed interest rate are defined at the start. Due to the fixed term, the interest rate is typically higher than for overnight deposits but lower than for fixed term deposits with an equal term. However, with flex deposits you can terminate your contract anytime. In this case you would receive the interest rate for early termination, which is lower than the interest rate for the entire term. In summary, with flex deposits you benefit from a relatively high, fixed interest rate (compared to overnight deposits) over the entire term as well as from the short-term availability."
English,Overnight & term deposits,Overnight & term deposit accounts,How can I use this service?,"Scalable Capital provides access to overnight, term and flex deposits offered by partner banks of our cooperation partner Raisin. You will receive an overview of the available offers based on your savings amount. The minimum investment amount for overnight, term and flex deposits is 500 Euro; however, some partner banks may require higher minimum investment amounts.

To use our overnight and term deposit offers, you need to agree to contracts with Raisin, Raisin Bank, and the corresponding partner bank. Raisin provides a platform with overnight, term, and flex deposit offerings of its partner banks. Raisin Bank maintains the corresponding savings account for transactions between your reference account (bank account) and the respective overnight, term, or flex deposit account maintained by the partner bank. An overview of your overnight, term, and/or flex deposit products will be displayed in your personal Scalable Capital cockpit."
English,Overnight & term deposits,Overnight & term deposit accounts,When and where will I be credited with interest?,"This depends on the contractual conditions of the respective partner bank. With overnight deposit offers, interest income is usually reinvested in your overnight deposit account and thus bears interest in the next interest interval. Consequently, you benefit from the compound interest effect. With term deposits, interest payments for can be distributed at different points in time. With some banks, interest is only paid out at maturity along with the savings amount. With other banks, you receive interest payments at certain intervals."
English,Overnight & term deposits,Overnight & term deposit accounts,How is my money protected? What are the risks?,"Raisin cooperates exclusively with partner banks located in the European Union (EU) or the European Economic Area (EEA). All EU member states have agreed to create national deposit guarantee schemes in accordance with European requirements. Countries within the EEA that are not members of the EU (e.g. Norway) have also set up deposit guarantee schemes.

These deposit guarantee schemes provide protection up to a certain savings amount (in the EU, generally up to an equivalent of 100,000 Euro), if a bank is unable to repay the deposits of its clients. This type of investment is therefore relatively safe up to this protection amount. Nevertheless, there are risks to be considered. In particular, these risks include issuing, transfer, and currency risks as well as legal risks. You can find further information (including information on the applicable rules of the respective deposit insurance) in the pre-contractual information and contractual terms of Raisin, Raisin Bank and the respective partner bank."
English,Overnight & term deposits,Overnight & term deposit accounts,"Is interest income from overnight, term, or flex deposits subject to tax?","Interest income may be subject to tax. Under certain circumstances, withholding taxes may also be withheld abroad. If you have any questions, please contact the relevant tax authority or your tax advisor."
English,Overnight & term deposits,Overnight & term deposit accounts,How do I invest?,"Investments in overnight, term, and/or flex deposits are currently available to clients of Scalable Capital's wealth management product with Baader Bank as the custodian bank. Investments in overnight, term, and/or flex deposits are not part of the wealth management product.

Investing in a savings account can be done in a few quick steps:

1. Log into your account and click on ""Add Product"" on your home screen. Choose ""Savings"" and enter your desired savings amount.


2. Check offers

- You will see an overview of the offers for overnight, term and flex deposits with different terms, including interest rate and expected repayment in Euro.

- Check the details: All conditions from the interest rate and the interest interval to information about the bank and deposit protection are available already at this step.


3. Select an offer and open the account

- When you select an offer, you may need to provide some additional information, such as income and assets, depending on the partner bank. It may also be necessary to re-authenticate your identity using POSTIDENT.

- After providing the necessary information, a clearing account will be created for you by our cooperation partner Raisin.


4. Transfer the savings amount

- Transfer the savings amount from your current account to the clearing account at Raisin Bank. The IBAN and the correct payment reference for the allocation of your transfer can be found in the confirmation details for the account opening. Important: The entire savings amount must be deposited in a single transfer.

- Once your savings amount is received, Raisin Bank (which assumes the function of carrying out domestic and foreign payment transactions) will transfer the savings amount to the partner bank you have chosen."
English,Overnight & term deposits,Overnight & term deposit accounts,Is there a minimum amount for a savings plan?,"The minimum investment amount for overnight, term and flex deposits is 500 Euro; however, some partner banks may require higher minimum investment amounts."
English,Overnight & term deposits,Overnight & term deposit accounts,How quickly can I get my overnight deposit?,"The option to withdraw your overnight deposit is available daily. When you make a withdrawal, the amount will be transferred to you within two working days.

You can terminate your overnight deposit with a term savings amount at any time. The invested amount will be paid out after the end of the specified payout period. Interest will continue to accrue on your savings amount until the payout."
English,Overnight & term deposits,Overnight & term deposit accounts,What is the savings account?,"In case of a successful overnight, term, or flex deposit account opening, Raisin Bank will open a clearing account for you. This account serves as the clearing account from which the deposited savings amounts flow to the respective selected partner bank. Withdrawals are also processed via this account and transferred from there to your saved current account (reference account) at your bank."
English,Overnight & term deposits,Overnight & term deposit accounts,What is the role of Scalable Capital?,"Scalable Capital provides free access to both overnight and term deposit offers and is compensated by Raisin based on the amount invested in overnight, term, or flex deposit accounts. Scalable Capital does not enter into any contractual relationship with you with respect to overnight, term, and flex deposits and, in particular, is not obliged to broker, advise, or review any overnight and term deposit offers."
English,General,Personal details,How secure is my personal data?,"Data protection is very important to us. We use modern IT infrastructure to ensure the security of your data. Your personal data (e.g. address, account data, financial circumstances) is transmitted in the course of registration as well as contract conclusion, and your data is always encrypted and stored in a data center in Germany.

Please refer to our privacy policy in this context."
English,General,Personal details,How can I change my personal data?,"To change your password, please click on ""Forgot your password?"" at scalable.capital/login. After entering your email address, you will receive an email with a link to change your password.

To change your personal data, please go to ""Profile"" in our app or online by logging in to your Scalable Capital account. You will need to activate two-factor authentication in the Scalable Capital app before making the change.

If you are an ING customer, please contact our customer service by email."
English,General,Personal details,How can I cancel with Scalable Capital?,"You can cancel or change your existing products online or via the Scalable Capital app under ""Profile"", ""Products"".

After your cancellation, you can still log into your personal area and retrieve documents in your mailbox. There you will receive important documents, such as your annual tax certificate. You can access these documents in your mailbox until the applicable retention periods expire. However, if necessary, access to your personal area can also be deactivated. To do so, please send us an e-mail."
English,General,Referral program,Can I recommend the broker and/or the wealth management as part of a referral program?,"Yes. As a broker and/or asset management customer you can recommend both products to your friend(s) and receive a reward.

For a successful recommendation of our wealth management product you will receive 50 Euro, and for a successful recommendation of the broker you will receive 25 Euro as a thank you."
English,General,Referral program,What is the Scalable Capital referral program?,"Over 80,000 customers are already investing with Scalable Capital. If you are satisfied with our products, you have the opportunity to recommend to your friends via our app or website. As a thank you, you will receive a bonus of up to 50 Euro per successful recommendation.

For a successful recommendation of our wealth management product, you will receive 50 Euro. For the successful recommendation of the broker, you will receive 25 Euro."
English,General,Referral program,How can I invite my friends?,"Click on ""Invite"" in our app or online by logging in to your Scalable Capital account. There you will see your individual invitation link that you can share with your friends via email, SMS, WhatsApp, or other messenger services."
English,General,Referral program,How and when will I receive my reward?,"First, share the invitation link with your friends. After a friend has successfully opened a wealth management portfolio or brokerage account based on your link, you will receive your bonus. The bonus will be paid out in the following month after your friend's new wealth management portfolio or brokerage account has been successfully created.

The bonus will be paid to your clearing account."
English,General,Referral program,Can I receive multiple rewards?,"Yes. You will be credited with 50 Euro or 25 Euro for each friend who successfully opens an account based on your link.

For a successful recommendation of our wealth management product, you will receive 50 Euro. For the successful recommendation of the broker, you will receive 25 Euro."
English,General,Security & privacy,Is Scalable Capital an independent and regulated company?,"Scalable Capital is an independent wealth manager, acting in the best interest of its clients. We are a financial services institution with the regulatory permission of the German Federal Financial Supervisory Authority (BaFin) for financial portfolio management (also called ""wealth management"") according to § 32 German Banking Act (KWG). We are subject to the supervision of the German Federal Financial Supervisory Authority and the Deutsche Bundesbank.

BlackRock, Inc. is (indirectly) a minority shareholder of the wealth manager's parent company. The wealth manager makes the selection of ETFs for the investment universe as an operational decision solely on the basis of objective criteria aligned with client interests. Thus, there are no economic incentives to favor certain ETFs, whether from BlackRock, Inc. or any other provider."
English,General,Security & privacy,How secure are my money and my investments? What happens in the event that Scalable Capital or your partner bank becomes insolvent?,"As a financial services institution, we are not authorized to obtain possession or ownership of the customer's assets. The customer's assets are held in the custody of our partner bank(s). In case of insolvency of Scalable Capital Vermögensverwaltung GmbH, the customer's assets contained in the custody account will therefore not fall into the insolvency estate of Scalable Capital Vermögensverwaltung GmbH.

In the event of the insolvency of the partner bank, your clearing account is protected by the statutory deposit protection of the Compensation Scheme of German Banks (Entschädigungseinrichtung deutsche Banken) up to a deposit amount of 100,000 Euro (see details on this at http://www.edb-banken.de/en/) and beyond that up to a certain amount by the deposit protection fund of the Association of German Banks (Bundesverband deutscher Banken). In addition, there is a claim to surrender of your securities in the portfolio in the event of insolvency of the custodian bank. This last aspect is particularly important for your investment with Scalable Capital Vermögensverwaltung GmbH, because your money is predominantly invested in securities with us and thus predominantly does not fall under the topic of deposit protection (like the cash on the clearing account).

As a regulated financial services institution, Scalable Capital Vermögensverwaltung GmbH is assigned to the Compensatory Fund of Securities Trading Companies (Entschädigungseinrichtung der Wertpapierhandelsunternehmen; EdW). The EdW provides compensation if an institution is no longer able to fulfill its ""liabilities from securities transactions"" to its customers for reasons directly related to its financial situation (and BaFin has determined the compensation case). For this compensation, the protection is limited to 90%, up to a maximum of 20,000 Euro per investor. Such a compensation case can only arise in special constellations for a financial services institution without permission to accept possession or ownership of assets of the customer (such as Scalable Capital Vermögensverwaltung GmbH); for example, the acceptance of customer funds despite the lack of the corresponding regulatory permission could be considered. Secondary claims (such as damages due to faulty investment) are generally not compensable."
English,General,Security & privacy,How can I change my password?,"To change the password for your account in the Android or iOS app, go to ""Profile"" and then select ""Change Password"" in the menu.

If you are logged in on the web browser, go to ""Profile"" and then click on the edit icon next to ""Current password."""
English,General,Security & privacy,How does two-factor authentication work at Scalable Capital?,"Besides your password, your Scalable Capital account is additionally protected with your linked device. This keeps attackers out, even if your password is stolen. Your linked device must have the Scalable Capital app installed and two-factor authentication enabled in order for you to benefit from this additional protection."
English,General,Security & privacy,How do I enable or disable two-factor authentication?,"Activation: Log in to your Scalable Capital account in our app. Go to ""Profile"" and then select ""Two-factor authentication"" in the menu. During the activation process, you will receive an email with an activation link that you will need to confirm on the mobile device that you want to link.

Deactivation: Log in to your Scalable Capital account in our app. Go to ""Profile"" and then select ""Two-factor authentication"" in the menu. Select the option to disable two-factor authentication. You may reenable two-factor authentication in the same way again at any time.

As part of the activation process, you will receive a backup code. Keep this in a safe place that is only accessible to you. You may need the backup code in case you change or lose your smartphone.

Deactivation with backup code: Log in to your Scalable Capital account in our app. Go to ""Profile"" and then select ""Two-factor authentication"" in the menu. Select ""I don't have access to my linked device,"" and then enter your backup code. 

What happens if I don't have access to my linked device and have also lost my backup code? If you do not have your linked device or your backup code, please contact our customer service."
English,General,Security & privacy,Why can I not use an mTAN that is sent to me via SMS?,"SMS messages are a frequently used method of two-factor authentication. However, SMS messages are commonly criticized due to their possible security vulnerabilities. Therefore, Scalable Capital has chosen to use a modern, digital method to provide you with a high level of security."
English,General,Security & privacy,Why are deposits and withdrawals not protected with two-factor authentication?,"Deposits and withdrawals are made exclusively via the reference account you have specified. Therefore, changing the reference account is a particularly sensitive process. This is only possible with two-factor authentication."
English,General,Security & privacy,Can I access to my account at any time?,"Yes, absolutely. You have full access to your account at all times. We don’t believe in just sending a monthly or quarterly report. We allow all of our clients to view their investments and how they are performing at any given time either online or in our app. You can sign in to see your portfolio breakdown, your past performance, and your recent transactions as well as all costs incurred."
English,Taxes,Tax allowance,What is tax allowance (Freistellungsauftrag)?,"With an exemption order, you instruct your bank to exempt accruing investment income from automatic tax deduction. Without this order, the bank will pay 25% capital gains tax as well as 5.5% solidarity surcharge and, if applicable, church tax to the tax office. The statutory maximum limits on your tax allowance are 801 Euro for an individual and 1,602 Euro for a married couple / registered partner."
English,Taxes,Tax allowance,What is the difference between a single and a joint tax allowance?,"In the case of a joint tax allowance, it is important that you are taxed jointly. The statutory maximum limits on your tax allowance are 801 Euro for an individual and 1,602 Euro for a married couple / registered partner."
English,Taxes,Tax allowance,How can I set up or change my tax allowance?,"To set up or change your tax allowance, please log into your Scalable Capital account on our app or online and go to ""Profile."" In the ""Taxes"" section, you can set up or change your tax allowance.

The tax allowance applies at bank level. This means that, for example, if you have a wealth management account with us that has custody account management at Baader Bank, the tax allowance that you set up for this also applies to Scalable Broker."
English,Taxes,Tax allowance,What are the deadlines for submitting my tax allowance?,Please submit your tax allowance before the end of the current year. Tax allowance is always valid from 1 January of the current year or from the beginning of your contract with us.
English,Taxes,Tax allowance,How do I know my tax allowance is already used?,"To see how much of your tax allowance has already been used, please log into your Scalable Capital account on our app or online and go to ""Profile."" In the ""Taxes"" section you can find all relevant information."
English,Taxes,Tax allowance,How high should I set my tax allowance?,"Since the tax treatment is individual and strongly depends on your trading behavior, we cannot make any recommendation on this."
English,Taxes,Year-end documents,How do I obtain a loss statement?,"To apply for a loss statement for an existing securities account, please complete the form ""Application for the issue of a loss statement"" in the Baader Bank form center. Please send the completed form directly to Baader Bank.

Please note that the application must be received by 15 December of the current year in order for the loss certificate to be issued.

For a securities account that has already been closed, a possible loss statement will be provided to you automatically in the spring of the following year."
English,Taxes,Year-end documents,Will I receive a tax certificate at the end of the year?,"Yes. If you are liable to pay tax in Germany, you will receive an annual tax certificate for your securities account and your clearing account. This will be provided to you electronically in the spring of the following year. You will find it in your mailbox in our app or online by logging in to your Scalable Capital account."
English,Taxes,General questions,How does the final withholding tax work?,"The final withholding tax on investment income (capital gains tax, solidarity tax, and, where applicable, church tax) is paid on a transaction-by-transaction basis. The respective levies are withheld by the custodian bank after each sale, taking into account tax allowance and loss pots where applicable, and forwarded to the tax office.

This only applies to customers subject to taxation in Germany. Customers who have a tax residence outside of Germany are obliged to determine and pay the applicable taxes themselves. Scalable Capital cannot provide tax advisory services in this regard.

You can find the amount of withholding tax paid by you in your personal customer area. To do this, please log into your Scalable Capital account on our website, open the menu item ""Profile"" and click on ""Taxes""."
English,Taxes,General questions,How does the payment of the church tax work?,"After your registration, Baader Bank automatically queries your church tax status at the Federal Central Tax Office (Bundeszentralamt für Steuern). If you are liable to pay church tax, the church tax will be paid directly to the tax office together with the capital gains tax and the solidarity tax on a transaction basis.

Please note that Baader Bank only checks your church tax status once a year in September for the following year. If your religious affiliation changes after this date, the change cannot be made during the year. The change will not be made until the next check in the following tax year. However, you can claim back any excess church taxes that have been paid when you file for your tax return. Please contact your tax advisor for this.

You can find the amount of church tax paid by you in your personal customer area. To do this, please log into your Scalable Capital account on our website, open the menu item ""Profile"" and click on ""Taxes""."
English,Taxes,General questions,When do I have to pay foreign withholding tax?,"The foreign withholding tax is comparable to the German capital gains tax, but is incurred directly at the ""source"" and, as a country-specific tax, depends on the respective country.

The amount of the country-specific withholding tax can be obtained from the Federal Central Tax Office. For further details, please contact your tax advisor.
"
English,Taxes,General questions,Is it possible to be exempted from withholding tax in advance or to have it reduced?,"For US withholding tax, the custodian bank (Baader Bank) can grant a lower tax rate as a Qualified Intermediary. A reduction of the withholding tax from 30% to 15% is possible if you are liable to pay tax in Germany. According to the double taxation treaty USA - Germany, the automatic reduction of the US withholding tax takes place for non-US persons with German citizenship, German residence and tax liability in Germany. For foreigners living in Germany the legitimation has to be done by Form W-8BEN. To do so, send us the completed form via e-mail to service@scalable.capital. Please make sure to provide complete information when submitting the form. If you are not taxable in Germany, the US withholding tax is regulated in the country-specific double taxation treaty between the USA and your tax country. For all other countries, an advance exemption from the respective withholding tax is not possible."
English,Taxes,General questions,When will the advance flat rate be debited?,"Broker: The advance fee is debited by the custodian bank at the beginning of the year. The debit will be made from your clearing account. Please ensure that there are sufficient funds in your account. If the booking of an advance fee results in a negative balance, the custodian bank may charge interest of 6.00% p.a. in accordance with the ""List of Prices and Services"" (p. 65).

Wealth management: The advance fee is debited by the custodian bank at the beginning of the year. The debit will be made from your clearing account. We will ensure that there are sufficient funds for you. You do not have to worry about anything in this regard."
English,Wealth management,Account opening,Is there a minimum investment?,"Yes. The minimum investment amount per portfolio is 10,000 Euro. If your investment volume should ever fall below the limit of 10,000 Euro, you required to deposit any money.

However, partial withdrawals that would reduce the investment amount below 10,000 Euro are not possible. In this case, you would have to terminate your contract and have your entire investment amount paid out."
English,Wealth management,Account opening,How does Scalable Capital choose a suitable investment strategy for me?,"As a regulated financial services institution, we are legally obliged to form a picture of your financial situation and other relevant circumstances. Only then are we allowed to recommend an investment strategy that is suitable for you.

At the beginning of the registration process, we will guide you through a questionnaire. Based on the information you provide, we assess which investment strategy best meets your investment objectives. Of course, we also check whether the risks associated with a particular investment strategy are financially viable for you and whether you understand these risks based on your knowledge and experience. From this information, we determine your risk profile, recommend an investment strategy that is suitable, and implement it for you."
English,Wealth management,Account opening,Can I become a customer even though I do not live in Germany or Austria?,"Our service is primarily aimed at persons residing in Germany or Austria. Persons residing outside of Germany or Austria may become customers if they (i) request our service on their own initiative (as an offer from a foreign provider) and (ii) meet all of the following requirements:

1. You are over 18 years of age.
2. You are not subject to US taxation (not a “US person” under US tax law).
3. You do not have a place of residence in Switzerland.
4. You have a current account that is kept at a credit institution based in the SEPA area.
5. You will invest the minimum investment amount.

Please also note that the custodian bank only pays taxes for customers who are taxable in Germany. If you are subject to tax abroad, you must carry out the correct taxation of all securities transactions yourself.

Feel free to contact us at service@scalable.capital if you are not a resident of Germany or Austria and would like to become a customer."
English,Wealth management,Account opening,Why do I need to verify my identity?,"The Money Laundering Act (MLA) requires us to identify our customers. This identification is also in your interest, as it ensures a higher level of security in the customer relationship.

An MLA-compliant identification is carried out conveniently via POSTIDENT video, online identification using your ID (eID), or in the traditional way at your post office.

Do you have an NFC-enabled smartphone and a new ID card with a PIN? Then we recommend online identification with your ID (eID). With this option, you can identify yourself around the clock and in less than two minutes."
English,Wealth management,Account opening,Which identification methods are available?,"The identification is done by our partner, POSTIDENT. With POSTIDENT, you can choose between POSTIDENT video, online identification using your ID (eID), and identification in person at a post office branch.

You can start the identification process conveniently in our app or online by logging in to your Scalable Capital account after completing the registration."
English,Wealth management,Account opening,I have already completed the identification. What happens next?,"Once you have successfully completed the identification, you do not need to do anything else.

The identification data is automatically transmitted to Scalable Capital, and the opening of both the clearing account and the custody account is automatically initiated. It can take up to three working days to open the accounts. You will be informed automatically as soon as the account opening is completed.

If any questions arise from the transmitted identification data, we will contact you proactively."
English,Wealth management,Account opening,Can I verify my identity with a foreign identity card?,"Yes. You can also identify yourself through our partner POSTIDENT with your foreign identity card or passport.

A list of the ID cards supported by POSTIDENT-Video can be downloaded here (German only): https://de.scalable.capital/postident-id.

If your ID document is not supported for POSTIDENT-Video, you can carry out identification in person at a post office. You can find a list of the ID cards accepted in branch offices here (German only): https://de.scalable.capital/postident-filiale.

If any questions arise from the transmitted identification data, we will contact you proactively."
English,Wealth management,Account opening,Can I transfer an existing portfolio to Scalable Capital?,"If you are interested in a securities account transfer, please contact our service team by email at service@scalable.capital.

Our team will organize the securities account transfer for you and instruct your custodian bank accordingly."
English,Wealth management,Account opening,Are joint accounts offered as well?,"Currently, we only support the opening of individual accounts."
English,Wealth management,Account opening,Can I open an account for my underage children?,"Yes. If you are interested in opening an account for your minor children (under 18 years of age), please contact our service team by email at service@scalable.capital. You can find more information on children's accounts at www.scalable.capital/kinderkonto (German only)."
English,Wealth management,Account opening,What criteria must my clearing account fulfill?,"The reference account that you register with us must be a current account (payment transaction account) in your name at a credit institution located in the SEPA area. The use of a overnight deposit account is not permitted. If your reference account is a joint account, you must ensure that you are registered as the beneficial owner."
English,Wealth management,Account opening,Can I also open a managed portfolio as a broker customer?,"Yes. As a broker client you can also add an automated ETF-based wealth management portfolio. To do so, log in to your account and click on the plus icon (""+"") in the mobile app or on ""Add product"" in your web browser. Then, select the wealth portfolio option. In order to determine your risk profile, you will need to complete our questionnaire. You will not need to verify your identity again.

Please note that a new clearing account and a new securities account will be opened for each new portfolio. The minimum investment amount must be fulfilled for each portfolio as well."
English,Wealth management,Account opening,Can I use my broker cash balance to fund the minimum deposit for a managed portfolio? ,No. Using your broker balance to open a managed wealth portfolio is currently not possible. You can transfer available funds from your broker clearing account back to your reference account to use for funding your wealth management portfolio.
English,Wealth management,Deposits & withdrawals,How can I make deposits and withdrawals?,"Deposit
By clicking on the menu item ""Payments,"" you can order a deposit at any time in our app or online. This will be debited from your current account via SEPA direct debit.

Alternatively, you can transfer the desired amount to your clearing account at Baader Bank. You can enter your name as the recipient, since the clearing account is in your name. Transfers are possible from any account; they do not have to be made from the current account which is saved as your reference account.

Withdrawal
You can instruct us at any time to partially or completely sell your investments and withdraw your money. Partial payouts can be instructed by logging in to your account and clicking on ""Payments."" You may withdraw any value as long as your balance does not exceed the minimum investment. The entire payout process can take between 4 and 7 working days.

For a withdrawal that would reduce the portfolio below the minimum investment, the respective portfolio must be cancelled. See ""How do I cancel my Scalable Capital account?"".

There are no fees for deposits or withdrawals."
English,Wealth management,Deposits & withdrawals,When will my deposited money be invested?,"Your deposited balance will be invested after it is credited to the settlement account, but no later than the next rebalancing of your portfolio."
English,Wealth management,Deposits & withdrawals,I have registered as an ING customer. How do I make a deposit into my Scalable account?,"When you registered as an ING customer, you could choose whether to contribute the initial investment amount by direct debit or bank transfer.
How to find your payment method: Log in to your personal customer area at scalable.capital/login. On the overview page, you can see whether the initial investment amount will be debited from your reference account or whether you need to make the transfer from your Extra account."
English,Wealth management,Deposits & withdrawals,Can money be paid into my custody account from a third-party bank (not the clearing account)? Is a transfer to the clearing account created automatically?,"Yes. Further deposits are also possible from accounts other than your reference account. Regardless of when or how a deposit is received in your clearing account at the custodian bank, the amount will be invested immediately with the next adjustment of the portfolio in accordance with your investment strategy."
English,Wealth management,Deposits & withdrawals,Can I set up a savings plan?,"Yes. In addition to the minimum investment amount of 10,000 Euro, you have the option to make further one-time payments into your portfolio or to set a fixed monthly amount. You can set the regular deposits either during the account opening or subsequently in your personal customer area."
English,Wealth management,Deposits & withdrawals,When will the deposit for my monthly savings plan be debited from my clearing account?,The direct debits for the monthly savings plans are always instructed by us on the first banking day of each month. Your reference account will be debited on the second or third banking day of the month and the amount will be credited to your portfolio at Scalable Capital on the following banking day.
English,Wealth management,Deposits & withdrawals,Can I set up a monthly withdrawal plan?,"Yes. You can easily set up a monthly withdrawal plan in your Scalable Capital account. To do so, open the ""Savings Plan"" section, select ""Withdrawal Plan"" there and then set the desired amount. The withdrawal will be initiated on the first banking day of each month. The securities sales required for the withdrawal will be ordered automatically."
English,Wealth management,Deposits & withdrawals,What happens if my investment amount would fall below the minimum investment amount due to the execution of my withdrawal plan?,"A withdrawal that would reduce the investment amount of your portfolio below the minimum investment amount of 10,000 Euro is not possible. Instead, your monthly withdrawal plan will be deactivated."
English,Wealth management,Deposits & withdrawals,"As a customer, do I have an overview of the individual transactions?","Yes. You can view every single transaction and every securities event (such as distributions) both in the login area on our website and on your smartphone using our app. In addition, the custodian bank will provide you with a monthly account statement where you can view a summary of all transactions and key figures that have taken place."
English,Wealth management,Additional portfolios,Is it possible to open multiple portfolios?,"Yes. You can hold multiple portfolios with different investment strategies at Scalable Capital. You can add additional portfolios in the customer area under ""Home"". Please note that a new clearing account and securities account must be opened for each new portfolio and the minimum investment must be deposited."
